"student_user_No","성별","지역","학교넘버","학교","학년","등급","수학점수"
49974,"F","광주광역시",9767,"각화중학교",479,472,4
7843,"F","경상북도",2873,"포항여자중학교",477,472,1
56916,"F","울산광역시",9737,"효정중학교",478,472,95
5998,"M","대구광역시",7965,"덕원고등학교",481,462,85
78429,"M","서울특별시",1254,"등촌고등학교",481,464,8
78427,"M","전라남도",141,"광양백운고등학교",48,465,78
7825,"M","서울특별시",9344,"잠신중학교",477,472,69
7876,"F","",21,"기타",478,472,4
78421,"F","경기도",3446,"운양중학교",477,471,96
7727,"F","부산광역시",649,"대연초등학교",699,472,88
69935,"M","충청남도",3265,"천안가온중학교",478,472,5
74628,"F","",21,"기타",484,466,NA
78158,"F","경기도",33,"신봉중학교",477,473,32
77827,"M","부산광역시",1395,"사상고등학교",48,463,78
7848,"F","세종특별자치시",12218,"다빛초등학교",698,472,88
77825,"F","경기도",272,"가온고등학교",481,464,NA
78419,"M","서울특별시",11342,"서울중앙고등학교",478,471,1
7199,"F","서울특별시",8651,"금옥중학교",477,471,98
78416,"F","인천광역시",7849,"학익여자고등학교",48,465,51
78418,"F","경기도",12219,"매현초등학교",7,472,98
45385,"F","경기도",515,"백석고등학교",48,465,NA
78411,"M","경기도",8854,"부곡중앙중학교",477,472,NA
78413,"F","경기도",11587,"광주매곡초등학교",7,471,95
78415,"F","경기도",6885,"신양초등학교",698,472,1
75614,"F","강원도",656,"만대초등학교",7,472,87
78353,"F","충청남도",3989,"천안불당초등학교",698,471,98
78159,"F","인천광역시",8877,"인천명선초등학교",7,472,95
7841,"F","전라북도",1243,"고산중학교",479,473,61
4198,"F","서울특별시",32,"인수중학교",477,472,NA
77925,"F","",21,"기타",477,473,76
7845,"F","경기도",11779,"청석초등학교",7,472,9
7175,"M","서울특별시",918,"영동고등학교",48,465,NA
76635,"F","충청남도",47,"천안청룡초등학교",7,472,85
772,"M","대구광역시",775,"대구중앙중학교",479,472,82
43297,"F","서울특별시",32,"인수중학교",477,472,NA
12992,"F","서울특별시",1414,"혜원여자고등학교",484,466,NA
784,"M","경기도",7328,"군포고등학교",481,465,8
78399,"M","경기도",6549,"곡정초등학교",7,472,1
78394,"F","부산광역시",48,"사직여자중학교",477,472,65
78393,"M","경기도",1181,"동암중학교",477,472,92
7839,"F","충청북도",926,"강서초등학교",699,472,9
47346,"F","",21,"기타",477,471,95
69669,"F","서울특별시",17,"상명초등학교",7,471,1
3343,"M","울산광역시",93,"울산강남중학교",478,472,NA
6835,"M","경기도",813,"상봉초등학교",698,472,88
17431,"F","전라남도",2513,"영흥중학교",479,473,NA
73769,"M","인천광역시",845,"동인천고등학교",48,465,59
7713,"F","",21,"기타",698,473,7
78386,"F","서울특별시",1222,"한산중학교",479,472,9
78384,"F","경기도",2389,"안산화정초등학교",7,471,95
7122,"F","서울특별시",11675,"서울신방학초등학교",699,472,95
5939,"F","부산광역시",729,"성지고등학교",48,468,5
4998,"M","",21,"기타",478,471,83
7919,"M","경기도",9678,"유신고등학교",481,464,5
78377,"F","경상남도",34,"반송여자중학교",478,471,95
