question_No,student_user_No,개념값,좋은 문제인지 ,난이도,답변평가점수,학교넘버,성별,등급,학년,수학점수,학교,지역
215,78827,68,3,2,5,21,WOMAN,471,478,98,기타,
216,78827,68,3,2,5,21,WOMAN,471,478,98,기타,
217,52183,21,4,3,0,21,WOMAN,463,480,0,기타,
218,35473,37,3,2,5,713,MAN,466,481,\N,성서고등학교,대구광역시
219,71030,2147,0,\N,0,731,WOMAN,465,480,100,성지여자고등학교,경상남도
220,78815,18,3,2,5,10052,WOMAN,471,479,100,다선중학교,부산광역시
221,51806,21,5,3,0,9566,MAN,462,480,94,동지고등학교,경상북도
222,61942,47,4,3,0,21,MAN,472,477,95,기타,
223,61942,47,4,2,0,21,MAN,472,477,95,기타,
224,61942,47,3,2,0,21,MAN,472,477,95,기타,
225,61942,47,4,3,5,21,MAN,472,477,95,기타,
226,78824,14,4,2,0,7632,WOMAN,471,479,0,고려대학교사범대학부속중학교,서울특별시
227,61942,47,3,2,0,21,MAN,472,477,95,기타,
228,43163,51,4,3,5,442,MAN,472,477,84,동현중학교,부산광역시
229,78821,33,3,2,5,362,WOMAN,465,482,70,덕문여자고등학교,부산광역시
230,78815,18,4,2,5,10052,WOMAN,471,479,100,다선중학교,부산광역시
231,61942,47,3,2,0,21,MAN,472,477,95,기타,
232,74724,61,3,2,5,523,WOMAN,472,478,80,장산중학교,부산광역시
233,73966,14,3,3,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
234,77948,18,4,3,5,7809,MAN,464,480,0,동래고등학교,부산광역시
235,74724,61,4,3,5,523,WOMAN,472,478,80,장산중학교,부산광역시
236,52048,18,4,3,0,1239,WOMAN,466,480,21,창원사파고등학교,경상남도
237,55135,21,3,2,0,9828,MAN,465,480,0,청원고등학교,충청북도
238,59408,21,3,2,0,21,WOMAN,463,484,0,기타,
239,59408,21,4,3,0,21,WOMAN,463,484,0,기타,
240,59408,21,4,3,0,21,WOMAN,463,484,0,기타,
241,59408,22,3,2,0,21,WOMAN,463,484,0,기타,
242,59408,21,3,2,0,21,WOMAN,463,484,0,기타,
243,59408,21,4,3,0,21,WOMAN,463,484,0,기타,
244,59408,21,4,3,0,21,WOMAN,463,484,0,기타,
245,78809,19,4,3,0,9951,MAN,471,479,100,가야곡중학교,충청남도
246,59408,21,4,3,0,21,WOMAN,463,484,0,기타,
247,52048,18,3,2,5,1239,WOMAN,466,480,21,창원사파고등학교,경상남도
248,78812,12,5,3,0,9347,MAN,471,478,0,휘경중학교,서울특별시
249,59408,21,4,2,0,21,WOMAN,463,484,0,기타,
250,78812,12,4,3,5,9347,MAN,471,478,0,휘경중학교,서울특별시
251,59408,22,4,2,0,21,WOMAN,463,484,0,기타,
252,67812,13,4,3,5,3451,MAN,471,477,0,성남중학교,세종특별자치시
253,52048,18,3,1,0,1239,WOMAN,466,480,21,창원사파고등학교,경상남도
254,64597,17,3,2,0,10429,WOMAN,471,479,100,풍성중학교,서울특별시
255,67812,13,3,2,5,3451,MAN,471,477,0,성남중학교,세종특별자치시
256,69055,35,3,3,5,7060,MAN,463,481,76,동성고등학교,서울특별시
257,67812,13,4,2,5,3451,MAN,471,477,0,성남중학교,세종특별자치시
258,64597,17,4,3,5,10429,WOMAN,471,479,100,풍성중학교,서울특별시
259,52048,18,3,2,0,1239,WOMAN,466,480,21,창원사파고등학교,경상남도
260,64597,17,4,3,5,10429,WOMAN,471,479,100,풍성중학교,서울특별시
261,49522,21,3,2,5,171,WOMAN,464,480,0,구로고등학교,서울특별시
262,67812,13,0,\N,0,3451,MAN,471,477,0,성남중학교,세종특별자치시
